Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Gross domestic product, constant prices,National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015 Primary domestic currency: Singapore dollar Data last updated: 03/2024,340.271,361.418,377.449,395.633,411.203,423.444,438.64,458.436,474.559,480.942,462.331,507.134,526.598,532.26,543.437,2022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Gross domestic product per capita, constant prices,National currency,Units,See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).,67,25.539,69,722.233,71,50.066,73,276.76,75,178.089,76,502.971,78,226.835,81,684.753,84,161.459,84,323.044,81,313.136,92,991.301,93,417.837,89,944.434,91,513.252,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Singapore dollar Data last updated: 03/2024,5.077,5.184,5.312,5.399,5.47,5.535,5.607,5.612,5.639,5.704,5.686,5.454,5.637,5.918,5.938,2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,General government revenue,National currency,Billions,Source: National Statistics Office. Data complemented with data from the Ministry of Finance or Treasury Latest actual data: FY2022/23 Notes: Government debt is issued to deepen the domestic market, to meet the investment needs of the Central Provident Fund, and to provide individuals a long-term savings option. Fiscal assumptions: FY2023 projections are based on revised figures based on budget execution through the end of 2023. FY2024 projections are based on the initial budget of February 16, 2024. Staff projections include (1) an increase in the Goods and Services Tax from 8 percent to 9 percent on January 1,2024, and (2) an increase of the carbon tax from S$5 a tone to S$25 a tone in 2024 and 2025 and S$45 a tone in 2026 and 2027. Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Start/end months of reporting year: April/March GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Cash. Authorities use cash accounting. General government includes: Central Government,. There is no local government in Singapore and thus the general government only includes central government Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits, Securities Other than Shares, Shares and Other Equity Primary domestic currency: Singapore dollar Data last updated: 03/2024,53.413,62.74,63.751,65.515,69.576,73.769,83.542,90.54,90.152,91.31,85.621,102.852,113.395,127.226,132.141,2023,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Monetary Fund, World Economic Outlook Database, April 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,